epoch,loss,mse,mae,val_loss,val_mse,val_mae
1,0.433933415833642,0.433933436870575,0.565157175064087,0.308242852776504,0.308242857456207,0.482417285442352
2,0.291633796165971,0.29163384437561,0.449286788702011,0.161190960771781,0.161190956830978,0.327114850282669
3,0.235733767642694,0.235733762383461,0.39447632431984,0.120438877523931,0.120438873767853,0.279346585273743
4,0.218329530428438,0.218329548835754,0.370039701461792,0.167363680098668,0.167363703250885,0.331725418567657
5,0.227846042198293,0.227846056222916,0.381641030311584,0.118018727718799,0.118018716573715,0.28435155749321
6,0.203600412782501,0.203600406646729,0.357884675264359,0.09741473844475,0.0974147319793701,0.2484200745821
7,0.218456233248991,0.218456223607063,0.372297018766403,0.122004834827313,0.122004821896553,0.293957710266113
8,0.197237971074441,0.197237983345985,0.351846426725388,0.110617250327236,0.110617242753506,0.271509885787964
9,0.190317536101622,0.190317526459694,0.338624656200409,0.0834993589515529,0.0834993645548821,0.231816902756691
10,0.19433784747825,0.194337844848633,0.340847760438919,0.104145560198086,0.104145556688309,0.26231375336647
11,0.201446900472921,0.201446905732155,0.354513138532639,0.0965671730189284,0.0965671837329865,0.255017936229706
12,0.188885978916112,0.188885986804962,0.342182040214539,0.114907119146063,0.114907145500183,0.271624535322189
13,0.196854539653834,0.196854561567307,0.34597048163414,0.0923762922444619,0.092376284301281,0.245982229709625
14,0.188739213873358,0.188739195466042,0.341137379407883,0.0881479726103712,0.0881479680538178,0.241112411022186
15,0.18555195366635,0.185551956295967,0.335244446992874,0.0841805173838434,0.0841805040836334,0.239267125725746
16,0.18547706043019,0.185477048158646,0.33589693903923,0.0823331163072389,0.082333117723465,0.23630091547966
17,0.189352213459856,0.189352214336395,0.338980197906494,0.106152610714771,0.10615262389183,0.261286795139313
18,0.19809046738288,0.198090434074402,0.349470853805542,0.0931525638034521,0.0931525677442551,0.253511220216751
19,0.189678895999404,0.189678877592087,0.338519006967545,0.0852389415064134,0.085238941013813,0.2334223985672
20,0.192137368899934,0.192137360572815,0.34297177195549,0.0876675881753283,0.0876675918698311,0.233237683773041
21,0.187907590147327,0.187907591462135,0.336055189371109,0.12568807922119,0.125688076019287,0.288273543119431
22,0.188674878548173,0.188674882054329,0.339612632989883,0.084816914513584,0.0848169177770615,0.234046593308449
23,0.184049101436839,0.184049099683762,0.334147870540619,0.0797929300749598,0.0797929242253304,0.226673990488052
24,0.202950794907177,0.202950790524483,0.351582527160645,0.114928537287003,0.114928528666496,0.277766227722168
25,0.197889505063786,0.197889491915703,0.352814227342606,0.11754284189506,0.117542833089829,0.279011219739914
26,0.184771729742779,0.184771731495857,0.336394935846329,0.0833367951645339,0.0833367928862572,0.231853246688843
27,0.174522317507688,0.174522295594215,0.322594404220581,0.0833440404539266,0.0833440497517586,0.230727285146713
28,0.178134532535777,0.178134545683861,0.328474283218384,0.0926893824203448,0.0926893800497055,0.24296760559082
29,0.178225472569466,0.178225457668304,0.328774094581604,0.0852281428442514,0.0852281451225281,0.236338272690773
30,0.185282210216803,0.185282230377197,0.333605349063873,0.0867043541482657,0.0867043659090996,0.237897112965584
31,0.179376093780293,0.179376095533371,0.32903990149498,0.0723378003136186,0.0723377987742424,0.211703464388847
32,0.174132935264531,0.174132943153381,0.322432190179825,0.0691625478962236,0.0691625475883484,0.208425745368004
33,0.183459687758895,0.183459669351578,0.330303221940994,0.102394274443634,0.102394282817841,0.260146409273148
34,0.204624724738738,0.204624712467194,0.351253986358643,0.0983312965547743,0.0983312949538231,0.255235821008682
35,0.197839559001081,0.197839543223381,0.34689211845398,0.0907476731568329,0.0907476767897606,0.237566500902176
