epoch,loss,mse,mae,val_loss,val_mse,val_mae
1,0.404043691232801,0.404043674468994,0.554570913314819,0.297696259888736,0.29769629240036,0.456215649843216
2,0.234406154602766,0.234406143426895,0.401710152626038,0.190633727868726,0.190633729100227,0.365221440792084
3,0.122585221193731,0.122585222125053,0.284861087799072,0.0930275712624069,0.0930275693535805,0.24491660296917
4,0.0792137002572417,0.0792136937379837,0.219965308904648,0.0907880382473804,0.0907880365848541,0.237577587366104
5,0.0705619477666915,0.0705619528889656,0.210156008601189,0.0748774495499193,0.074877455830574,0.21406863629818
6,0.0588074151892215,0.0588074177503586,0.190578132867813,0.0905779311972216,0.0905779451131821,0.237539827823639
7,0.0535050984472036,0.0535050928592682,0.180648311972618,0.0675048866917279,0.0675048828125,0.203436702489853
8,0.0578338063787669,0.057833805680275,0.184711083769798,0.0812323393592657,0.0812323391437531,0.221886172890663
9,0.0702567505650222,0.0702567473053932,0.205849319696426,0.0749403195809727,0.0749403238296509,0.215992525219917
10,0.0523460309486836,0.0523460321128368,0.179187640547752,0.070356689547458,0.0703566893935204,0.206102073192596
11,0.0496898209676147,0.0496898181736469,0.171489596366882,0.0686123159306109,0.0686123222112656,0.204045698046684
12,0.0500556365586817,0.0500556379556656,0.172921255230904,0.0693513666672155,0.0693513676524162,0.205989748239517
13,0.0501874395413324,0.0501874387264252,0.169621095061302,0.0600225905741542,0.0600225776433945,0.189082115888596
14,0.0471759296488017,0.0471759326756001,0.166044697165489,0.11757601483548,0.117576032876968,0.266431748867035
15,0.0463213887996972,0.0463213920593262,0.164327412843704,0.0603154570110573,0.0603154562413693,0.187724724411964
16,0.0448151767486706,0.0448151826858521,0.161106407642365,0.0599764369982333,0.059976439923048,0.188746154308319
17,0.0429840786382556,0.0429840795695782,0.158484101295471,0.0597639551216906,0.0597639568150044,0.187778815627098
18,0.0437149722129107,0.0437149666249752,0.160531625151634,0.0639386397347716,0.06393863260746,0.19462962448597
19,0.0522258854471147,0.0522258877754211,0.174190387129784,0.0649106592432527,0.0649106577038765,0.19847708940506
20,0.0511681688949466,0.0511681698262692,0.177930146455765,0.0709251823627259,0.0709251910448074,0.210511043667793
21,0.0548572517000139,0.0548572540283203,0.181600481271744,0.109886632970542,0.109886631369591,0.257949471473694
22,0.0670033160131425,0.0670033171772957,0.197084382176399,0.0658315498658941,0.0658315569162369,0.201068371534348
23,0.0463718792889267,0.0463718771934509,0.16013477742672,0.0691002255136317,0.0691002309322357,0.201933026313782
24,0.0496897413395345,0.049689743667841,0.17249721288681,0.071180955776252,0.0711809620261192,0.208151698112488
25,0.0462305076653138,0.0462305098772049,0.165640145540237,0.0678890239108693,0.0678890272974968,0.199584186077118
26,0.0392462559975684,0.0392462536692619,0.150892019271851,0.0586137891062035,0.0586137808859348,0.184834599494934
27,0.0409027021378279,0.040902704000473,0.155046194791794,0.0818953584910424,0.0818953365087509,0.220988363027573
28,0.0506960072088987,0.0506960116326809,0.171761527657509,0.064322236186463,0.0643222332000732,0.196496233344078
29,0.0449878911022097,0.044987890869379,0.164589166641235,0.0599143582680994,0.0599143579602242,0.189044147729874
30,0.046051153447479,0.0460511520504952,0.161076843738556,0.0627201574831462,0.0627201572060585,0.194462358951569
31,0.0438315359642729,0.043831542134285,0.161899119615555,0.0628310414877805,0.0628310367465019,0.19160895049572
32,0.0449978593969718,0.0449978597462177,0.158862844109535,0.0712451369247653,0.0712451338768005,0.206849560141563
33,0.0447822280693799,0.0447822324931622,0.161323547363281,0.0658543478420451,0.0658543407917023,0.195592969655991
34,0.0400596148101613,0.0400596186518669,0.151531487703323,0.0633040728770997,0.0633040741086006,0.192332834005356
35,0.043729156954214,0.043729156255722,0.158914148807526,0.0606310870652357,0.060631088912487,0.187354058027267
36,0.0403717369772494,0.0403717383742332,0.152139395475388,0.0793245331007095,0.0793245360255241,0.217540755867958
37,0.0455856887856498,0.0455856844782829,0.163681790232658,0.0781764420411311,0.0781764462590218,0.215193882584572
38,0.053096828982234,0.0530968271195889,0.174138158559799,0.0636037421866882,0.0636037364602089,0.19272480905056
39,0.0442039595218375,0.0442039556801319,0.162055924534798,0.0663579292903262,0.0663579255342484,0.200165838003159
40,0.0406170195201412,0.0406170189380646,0.154442772269249,0.065346000731484,0.065346010029316,0.196676790714264
41,0.0415438083000481,0.0415438078343868,0.155662208795547,0.0612988390705802,0.0612988397479057,0.18876738846302
42,0.0412008888088167,0.0412008948624134,0.152439966797829,0.0574083509585582,0.0574083514511585,0.183557778596878
43,0.0462200769688934,0.0462200753390789,0.163871183991432,0.0675750806435081,0.0675750747323036,0.199474349617958
44,0.0493031481746584,0.0493031553924084,0.173801958560944,0.06854031391996,0.0685403123497963,0.202058613300323
45,0.0453986319480464,0.0453986302018166,0.162127465009689,0.0633738420842108,0.0633738338947296,0.193376153707504
46,0.0384882747894153,0.0384882763028145,0.148416414856911,0.0583020316914093,0.0583020336925983,0.185184821486473
47,0.0428587202914059,0.0428587198257446,0.15510867536068,0.0586582718124567,0.0586582608520985,0.185903608798981
48,0.0466831950470805,0.0466831997036934,0.164732471108437,0.0653582616470569,0.0653582662343979,0.196317926049232
49,0.0425328484270722,0.0425328463315964,0.158003434538841,0.060362893564642,0.0603628903627396,0.189757511019707
50,0.0426427817437798,0.042642779648304,0.155991017818451,0.0586566123649601,0.0586566105484963,0.1868527084589
51,0.0400722010526806,0.0400721952319145,0.15231528878212,0.0636416744471582,0.063641682267189,0.193073943257332
52,0.0405303743900731,0.040530376136303,0.153822526335716,0.0605946083145201,0.0605946108698845,0.188031420111656
53,0.0389198840130121,0.0389198809862137,0.148228228092194,0.0646021862722133,0.0646021813154221,0.193816348910332
54,0.0427493014140055,0.0427493043243885,0.158461287617683,0.0566311488158939,0.0566311441361904,0.183316007256508
55,0.0438439273275435,0.0438439249992371,0.15925532579422,0.0610379475699969,0.0610379502177239,0.192141473293304
56,0.0439127202844247,0.0439127199351788,0.16154308617115,0.0597962907030563,0.0597962886095047,0.187356159090996
57,0.0384873511502519,0.0384873524308205,0.148960456252098,0.0628407363556633,0.0628407299518585,0.192740499973297
58,0.0411116055911407,0.0411116033792496,0.153688356280327,0.0696428703559824,0.0696428641676903,0.202216759324074
59,0.0498728259699419,0.0498728305101395,0.166913196444511,0.0593400929461826,0.0593400895595551,0.186544120311737
60,0.0405602738028392,0.0405602753162384,0.153090834617615,0.0596267441826418,0.0596267394721508,0.186996549367905
61,0.0401603642385453,0.0401603579521179,0.153467550873756,0.0598346078383529,0.0598346032202244,0.187037527561188
62,0.0462041636928916,0.0462041571736336,0.164097741246223,0.0642963419398986,0.0642963424324989,0.195918247103691
63,0.0431983328890055,0.0431983321905136,0.1584782153368,0.060312063302383,0.0603120587766171,0.188327670097351
64,0.0377382290316746,0.0377382300794125,0.148488894104958,0.057670560380644,0.0576705634593964,0.183110907673836
65,0.0427078037755564,0.0427078008651733,0.155703097581863,0.0767447710160382,0.0767447650432587,0.211324736475945
66,0.0432861668523401,0.0432861745357513,0.159257739782333,0.057017938688028,0.0570179410278797,0.181886851787567
67,0.04069098981563,0.0406909920275211,0.152514725923538,0.0630975205851488,0.0630975216627121,0.192711591720581
68,0.0472758705727756,0.0472758710384369,0.163336858153343,0.0699845967152394,0.0699845924973488,0.203843057155609
69,0.0417937289457768,0.04179373010993,0.157052204012871,0.0607954209808968,0.0607954263687134,0.188539385795593
70,0.042164763668552,0.0421647615730763,0.155912503600121,0.0603338980292978,0.0603338927030563,0.187670469284058
71,0.0420105687808245,0.0420105643570423,0.154448419809341,0.0631870906953969,0.0631870925426483,0.192756205797195
72,0.0427041359944269,0.0427041351795197,0.157171830534935,0.0747856596900412,0.0747856497764587,0.210430607199669
73,0.0431596813723445,0.0431596823036671,0.158818170428276,0.0636419541210182,0.0636419504880905,0.19240166246891
74,0.0390527273993939,0.0390527285635471,0.150987029075623,0.0609021172666353,0.0609021224081516,0.189606592059135
75,0.0386464539915323,0.0386464521288872,0.148564010858536,0.0643967834632259,0.0643967762589455,0.196215212345123
76,0.0437660769093782,0.0437660738825798,0.160947769880295,0.0753606698852925,0.0753606781363487,0.211812034249306
77,0.0412137381499633,0.0412137396633625,0.1544189453125,0.0599567036737095,0.0599566996097565,0.187554121017456
78,0.0371866101631895,0.037186611443758,0.144988089799881,0.060891453361462,0.0608914531767368,0.188363879919052
79,0.041094065643847,0.0410940647125244,0.154094606637955,0.0620727888193012,0.0620727837085724,0.190717950463295
80,0.0438875574618578,0.0438875593245029,0.157832086086273,0.0715178147512527,0.0715178102254868,0.206335082650185
81,0.0439879136392847,0.0439879111945629,0.158733040094376,0.0619308366016908,0.0619308426976204,0.189853861927986
82,0.0386323760030791,0.0386323742568493,0.147373914718628,0.0562013859344908,0.0562013946473599,0.181937053799629
83,0.0458060607779771,0.045806061476469,0.161217123270035,0.0678190847566305,0.0678190886974335,0.197972044348717
84,0.042140073957853,0.0421400777995586,0.154449224472046,0.0718888992613012,0.0718889087438583,0.205125704407692
85,0.0456936169648543,0.0456936173141003,0.161808758974075,0.0596631008916157,0.0596631057560444,0.186823204159737
86,0.0432438330026343,0.043243832886219,0.156681731343269,0.0658838717528611,0.0658838674426079,0.197594672441483
87,0.0404745315900072,0.040474534034729,0.150824517011642,0.0635780344817264,0.0635780394077301,0.192845180630684
88,0.0387374153360724,0.0387374125421047,0.147668316960335,0.0653004622287001,0.0653004571795464,0.194697663187981
89,0.0419299930799752,0.0419299937784672,0.156318828463554,0.0617246627499742,0.061724666506052,0.190208241343498
90,0.0369015510659665,0.0369015522301197,0.145077258348465,0.0608929743574671,0.0608929730951786,0.189440071582794
91,0.0416772275930271,0.0416772291064262,0.154394656419754,0.0588764636354013,0.0588764697313309,0.185743436217308
92,0.0383888831129298,0.0383888781070709,0.147801265120506,0.058749902192965,0.0587498992681503,0.18511176109314
93,0.0410336111672223,0.0410336032509804,0.154635637998581,0.0583564758701019,0.0583564750850201,0.183390572667122
94,0.0405317601980642,0.0405317582190037,0.149699702858925,0.0644403935587111,0.0644403994083405,0.192968890070915
95,0.039016549475491,0.0390165485441685,0.149768963456154,0.0621520097344375,0.0621520057320595,0.191296562552452
96,0.0411390189547092,0.0411390215158463,0.152770906686783,0.07187089989008,0.0718709081411362,0.204400077462196
97,0.0419209657702595,0.0419209599494934,0.155375018715858,0.0586943968453191,0.0586943998932838,0.186429753899574
98,0.0386502920882776,0.0386502929031849,0.151165306568146,0.0619518746398697,0.0619518719613552,0.189856722950935
99,0.0372358106542379,0.0372358076274395,0.145669654011726,0.060494998454555,0.0604949966073036,0.187076911330223
100,0.0379001160617918,0.0379001200199127,0.14775861799717,0.0591989299051525,0.0591989271342754,0.186359763145447
101,0.0390288727357984,0.0390288718044758,0.149251520633698,0.0651290672253971,0.0651290714740753,0.198554247617722
102,0.0435782483546063,0.0435782484710217,0.158402293920517,0.0673634078630731,0.0673634186387062,0.19858680665493
103,0.0403951003681868,0.0403950959444046,0.152955919504166,0.0600797888507282,0.0600797943770886,0.187723889946938
104,0.0383488209918141,0.0383488237857819,0.149029016494751,0.06249612619069,0.0624961256980896,0.191055282950401
105,0.0410550417145714,0.0410550460219383,0.154237523674965,0.0627497932142463,0.0627498030662537,0.192602694034576
106,0.0416192868724465,0.041619285941124,0.154240339994431,0.0600399932216022,0.0600399971008301,0.187982141971588
107,0.0427146709989756,0.0427146665751934,0.156768396496773,0.0745254368020976,0.0745254382491112,0.2082709223032
108,0.0456071749795228,0.0456071794033051,0.163280308246613,0.0675974799212345,0.0675974786281586,0.199787557125092
109,0.042633005650714,0.0426330007612705,0.154766365885735,0.0630635860229819,0.0630635842680931,0.192993149161339
110,0.0454248595051467,0.045424859970808,0.163893431425095,0.0627136422582894,0.0627136379480362,0.192528083920479
111,0.0393105443799868,0.0393105410039425,0.150643557310104,0.0599561040251216,0.0599561147391796,0.187784016132355
112,0.0447384704602882,0.0447384715080261,0.159589886665344,0.0703151659532027,0.0703151673078537,0.2047458589077
113,0.0398719134973362,0.0398719124495983,0.150937274098396,0.057754016796912,0.0577540136873722,0.183872535824776
114,0.0403251168318093,0.0403251200914383,0.150121763348579,0.0734841878995423,0.0734841898083687,0.207421153783798
115,0.0437179323052987,0.0437179356813431,0.155954733490944,0.0677300430526418,0.067730039358139,0.201225951313972
116,0.0439039871562272,0.0439039878547192,0.157569766044617,0.0587123030227078,0.0587123036384583,0.185190454125404
117,0.0403622228186578,0.0403622277081013,0.153399392962456,0.0674167075309872,0.067416712641716,0.199397414922714
118,0.0426931077381596,0.0426931083202362,0.15691539645195,0.063615063682568,0.0636150613427162,0.19310662150383
119,0.0425842609256506,0.0425842627882957,0.156462699174881,0.062533927388674,0.0625339224934578,0.193239495158196
120,0.0409506405703723,0.0409506447613239,0.154975771903992,0.0645927839473752,0.0645927935838699,0.196353822946548
121,0.0442200773395598,0.044220082461834,0.159333139657974,0.0640711263437902,0.0640711337327957,0.193254619836807
122,0.0419409980531782,0.0419409982860088,0.153992712497711,0.0676101678597533,0.0676101669669151,0.197410479187965
123,0.038994770613499,0.0389947704970837,0.148473560810089,0.06916495911346,0.0691649690270424,0.202429965138435
